"","row","max_row","tournamentNumber","seasonYear","courseNumber","roundNumber","holeNumber","groupId","playerId","shotNumber","kind","timeInterval","validTimeInterval","measuredTimeInterval","xFit","yFit","zFit","spinRateFit"
"115",5,5,"047","2021","538",1,11,1,"31560",1,"Flight",6.18,7.58,6.36994,-0.249811,-0.0957051,-0.0427404,-9.36235
"116",1,5,"047","2021","538",1,11,1,"46441",1,"Flight",0,0,0,-1.4804,4.12366e-15,1.20695,199.857
"117",2,5,"047","2021","538",1,11,1,"46441",1,"Flight",2.672,3.28,2.351964,73.6301,12.7992,-1.52329,-621.396
"118",3,5,"047","2021","538",1,11,1,"46441",1,"Flight",4.008,4.92,3.527946,-11.3531,-0.285348,-0.504825,204.012
"119",4,5,"047","2021","538",1,11,1,"46441",1,"Flight",5.344,6.56,4.703928,1.80423,-0.430039,0.125468,3.41313
"120",5,5,"047","2021","538",1,11,1,"46441",1,"Flight",6.68,8.2,5.87991,-0.209925,0.0234175,-0.0198843,-1.99868
"121",1,5,"047","2021","538",1,12,1,"29461",1,"Flight",0,0,0,0.015291,1.05608e-15,0.401385,320.389
"122",2,5,"047","2021","538",1,12,1,"29461",1,"Flight",2.68,3.332,2.352028,69.6978,10.7862,-1.27102,-1028.05
"123",3,5,"047","2021","538",1,12,1,"29461",1,"Flight",4.02,4.998,3.528042,-10.2483,0.865697,0.349622,345.78
"124",4,5,"047","2021","538",1,12,1,"29461",1,"Flight",5.36,6.664,4.704056,1.42027,-0.854137,-0.0659678,0.81553
"125",5,5,"047","2021","538",1,12,1,"29461",1,"Flight",6.7,8.33,5.88007,-0.143165,0.109238,0.00921543,-2.8032
"126",1,5,"047","2021","538",1,12,1,"31560",1,"Flight",0,0,0,-0.882248,2.42484e-15,-0.426568,178.805
"127",2,5,"047","2021","538",1,12,1,"31560",1,"Flight",2.64,3.236,2.3158,70.9085,14.3842,2.31948,-571.406
"128",3,5,"047","2021","538",1,12,1,"31560",1,"Flight",3.96,4.854,3.4737,-10.5326,-0.815848,-0.418632,193.55
"129",4,5,"047","2021","538",1,12,1,"31560",1,"Flight",5.28,6.472,4.6316,1.65948,-0.357922,0.0710505,1.95235
"130",5,5,"047","2021","538",1,12,1,"31560",1,"Flight",6.6,8.09,5.7895,-0.185999,0.0137628,-0.00867736,-1.81323
"131",1,5,"047","2021","538",1,12,1,"46441",1,"Flight",0,0,0,0.100464,-1.27707e-15,-0.143247,-126.207
